"row","column","cor","p","cor_class"
"annual_precipitation","PET",-0.86222331398291,0,"high"
"precipitation_coldest_quarter","PET",-0.789044347878597,0,"high"
"ExoticAnnualHerb_cover","herb_total",0.806920865301582,0,"high"
"ExoticPerennialHerb_cover","herb_total",0.714794289812662,0,"high"
"herb_total","exotic_total",0.71485354584411,0,"high"
"ExoticAnnualGrass_cover","exotic_grass",0.870926025051843,0,"high"
"grass_total","exotic_grass",0.70169753960625,0,"high"
"exotic_total","exotic_grass",0.780245787127511,0,"high"
"ExoticAnnualHerb_cover","Litter_cover",-0.36499584906452,1.80633286106513e-12,"low"
"NativePerennialGrass_cover","Litter_cover",-0.311348303287746,2.63990784787893e-09,"low"
"ExoticAnnualHerb_cover","annual_precipitation",0.340181127602613,7.09703407153484e-11,"low"
"ExoticPerennialHerb_cover","annual_precipitation",0.329004336426391,3.1457680904623e-10,"low"
"NativePerennialHerb_cover","annual_precipitation",0.306119727020782,5.52265344566649e-09,"low"
"Litter_cover","annual_precipitation",-0.446295794703124,0,"low"
"ExoticAnnualHerb_cover","precipitation_warmest_quarter",0.33589798346192,1.26463728378212e-10,"low"
"ExoticPerennialHerb_cover","precipitation_warmest_quarter",0.323969507650839,6.03366689944096e-10,"low"
"Litter_cover","precipitation_warmest_quarter",-0.457553961525179,0,"low"
"ExoticAnnualHerb_cover","precipitation_coldest_quarter",0.332514331352699,1.98359106917678e-10,"low"
"ExoticPerennialHerb_cover","precipitation_coldest_quarter",0.318829775693895,1.15878662221292e-09,"low"
"NativePerennialHerb_cover","precipitation_coldest_quarter",0.316872228419644,1.48097134555769e-09,"low"
"Litter_cover","precipitation_coldest_quarter",-0.426035274699308,0,"low"
"ExoticAnnualHerb_cover","PET",-0.382263773948214,1.49213974509621e-13,"low"
"ExoticPerennialHerb_cover","PET",-0.330965280406742,2.43305819935813e-10,"low"
"Litter_cover","PET",0.465826230923152,0,"low"
"ExoticAnnualHerb_cover","K_perc",0.426033264902173,0,"low"
"precipitation_coldest_quarter","Th_ppm",0.364137142163911,2.20712337295481e-12,"low"
"annual_precipitation","U_ppm",0.347102469333468,2.56430432443722e-11,"low"
"precipitation_warmest_quarter","U_ppm",0.369470143528504,9.9342756243459e-13,"low"
"precipitation_coldest_quarter","U_ppm",0.326941341651842,3.88245435800627e-10,"low"
"PET","U_ppm",-0.457150826515673,0,"low"
"ExoticAnnualHerb_cover","aridity",0.354654541850081,9.42756983590698e-12,"low"
"ExoticPerennialHerb_cover","aridity",0.340211340931177,7.06794622828966e-11,"low"
"Litter_cover","aridity",-0.457012644941057,0,"low"
"U_ppm","aridity",0.382857021018169,1.25233157177718e-13,"low"
"ExoticPerennialGrass_cover","grass_total",0.340434092558323,6.04565286721481e-11,"low"
"BareGround_cover","grass_total",-0.381412101509764,1.45439216225896e-13,"low"
"Litter_cover","grass_total",-0.478002160262274,0,"low"
"Litter_cover","herb_total",-0.43045472961822,0,"low"
"annual_precipitation","herb_total",0.46024903784754,0,"low"
"precipitation_warmest_quarter","herb_total",0.451201526781779,0,"low"
"precipitation_coldest_quarter","herb_total",0.450608644587239,0,"low"
"PET","herb_total",-0.482230177874211,0,"low"
"K_perc","herb_total",0.348711182867989,2.1870061317486e-11,"low"
"U_ppm","herb_total",0.323876251522197,6.10620443097787e-10,"low"
"aridity","herb_total",0.475311933742809,0,"low"
"ExoticPerennialHerb_cover","exotic_total",0.490238197086542,0,"low"
"ExoticPerennialGrass_cover","exotic_total",0.45395591055621,0,"low"
"BareGround_cover","exotic_total",-0.333705493328774,1.50118362185481e-10,"low"
"annual_precipitation","exotic_total",0.436925530911105,0,"low"
"precipitation_warmest_quarter","exotic_total",0.459014797604836,0,"low"
"precipitation_coldest_quarter","exotic_total",0.399771999932593,8.88178419700125e-15,"low"
"K_perc","exotic_total",0.30227824683128,8.72640537608049e-09,"low"
"aridity","exotic_total",0.472856063768933,0,"low"
"Litter_cover","native_total",-0.323884292712012,5.44502443133865e-10,"low"
"Litter_cover","exotic_grass",-0.330233739447345,2.37970088079464e-10,"low"
"PET","exotic_grass",-0.335860053939074,1.27107213643285e-10,"low"
"SRad_Jan","SRad_Jul",0.636975687370379,0,"medium"
"ExoticAnnualGrass_cover","grass_total",0.632006064980142,0,"medium"
"NativePerennialGrass_cover","grass_total",0.635043432114037,0,"medium"
"ExoticAnnualGrass_cover","exotic_total",0.658846497048289,0,"medium"
"ExoticAnnualHerb_cover","exotic_total",0.599835932646638,0,"medium"
"Litter_cover","exotic_total",-0.504739252200869,0,"medium"
